A bag of,Una bolsa de,"A container made of flexible material, used for holding or carrying items.",I bought a bag of apples.
A bar of,Una barra de,"A long, narrow piece of solid material, often used for food or construction.",He ate a bar of chocolate.
A bottle of,Una botella de,"A container, typically made of glass or plastic, used for holding liquids.",She drank a bottle of water.
A box of,Una caja de,"A container with flat sides and a lid, used for storing or transporting items.",He received a box of chocolates.
A can of,Una lata de,A cylindrical metal container used for storing food or drinks.,I opened a can of soda.
A few,Unos pocos / Unas pocas,A small number of something.,I have a few friends coming over.
A jar of,Un frasco de,"A cylindrical container with a wide mouth, used for storing food or other items.",I have a jar of honey.
A little,Un poco de,A small amount of something.,I need a little sugar for my coffee.
A loaf of,Una barra de,A shaped mass of bread that is baked in one piece.,I bought a loaf of bread.
A lot,Mucho / Mucha,A large quantity of something.,She has a lot of books.
A pack of,Un paquete de,A collection of items wrapped or boxed together.,She bought a pack of gum.
A tube of,Un tubo de,"A long, hollow cylinder used for holding substances like toothpaste or paint.",I need a tube of toothpaste.
About,Sobre / Acerca de,Concerning or relating to a particular subject.,We talked about the movie.
Accept,Aceptar,To agree to receive or undertake something offered.,She decided to accept the job offer.
According to,Según,Used to indicate the source of information or opinion.,"According to the report, sales have increased."
Accoss,A través de / Al otro lado de,Indicates movement from one side to another.,She swam across the river.
Actor,Actor,"A person who performs in plays, movies, or television shows.",The actor won an award for his performance.
Add,Añadir,To include something additional.,Please add your name to the list.
Address,Dirección,The location of a person or organization.,Please write down your address for the delivery.
Adsent,Ausente,Not present in a place or situation.,He was absent from the meeting.
Advice,Aconsejar,To give recommendations or suggestions.,I advise you to study for the exam.
Affirmative,Afirmativo,A statement that expresses agreement or confirmation.,The answer is affirmative; we will attend the meeting.
After shave lotion,Loción para después del afeitado,A lotion applied to the skin after shaving to soothe and moisturize.,He uses after shave lotion to prevent irritation.
Alarm clock,Reloj despertador,A clock that is designed to wake a person at a specific time.,I set my alarm clock for 6 AM.
All,Todo,The whole quantity or extent of a particular group or thing.,She ate all the cookies in the jar.
All right,Muy bien / Está bien,A phrase used to express agreement or acceptance.,"""Can we start the meeting now?"" ""All right."""
Along,A lo largo de,Used to indicate movement from one end to the other of something.,We walked along the beach.
Alphabet,Alfabeto,A set of letters or symbols in a fixed order used to represent the basic sounds of a language.,The English alphabet has 26 letters.
Anger,Enojo,A strong feeling of displeasure.,He felt a surge of anger when he heard the news.
Angry,Enojado,Feeling or showing strong displeasure or annoyance.,She is angry about the delay.
Answer,Respuesta,A response to a question or situation.,I gave the correct answer to the question.
Answering machine,Contestador automático,A device that records messages from callers when the recipient is unavailable.,He checked the messages on his answering machine.
Anxiety,Ansiedad,A feeling of worry or fear.,She felt a wave of anxiety before the exam.
Any,Cualquier / Algún / Alguna,An indefinite pronoun used to refer to one or more unspecified things or people.,Do you have any questions?
Anyway,De todas formas / De todos modos,Used to indicate a change of subject or to return to a previous topic.,"Anyway, let's get back to the main point."
Appel pie,Tarta de manzana,A dessert made with a pastry crust and a filling of apples.,She baked a delicious apple pie for dessert.
Apple,Manzana,"A round fruit with red, green, or yellow skin and a sweet or tart flavor.",I ate an apple as a snack.
Appointment book,Agenda,A book used to keep track of appointments and schedules.,She wrote down her meetings in the appointment book.
April,Abril,The fourth month of the year.,April is known for its rain.
Architect,Arquitecto,A person who designs buildings and oversees their construction.,The architect designed a beautiful house.
Are there any apples in the stand?,¿Hay algunas manzanas en el puesto?,Used to ask if there are any apples present.,Are there any apples in the stand?
Arm chair,Sillón,A comfortable chair with side supports for a person's arms.,I like to read books in my armchair.
Around,Alrededor de,Indicates movement in a circular direction or surrounding something.,They walked around the park.
Artist,Artista,"A person who creates art, such as paintings, drawings, or sculptures.",The artist painted a beautiful landscape.
Ask,Preguntar,To request information or an answer to a question.,Can I ask you a question about your project?
At,En / A,A preposition used to indicate a specific location or time.,I will meet you at the park.
At home,En casa,In one's place of residence.,I feel comfortable at home.
Attention,Atención,The act of focusing on something.,Please pay attention to the instructions.
Auditorium,Auditorio,"A large room or hall used for public gatherings, performances, or lectures.",The concert was held in the auditorium.
August,Agosto,The eighth month of the year.,August is usually hot.
Aunt,Tía,The sister of one's parent.,My aunt is very supportive.
Autumn,Otoño,The season between summer and winter.,The leaves change color in autumn.
Average,Promedio,A number expressing the central or typical value in a set of data.,The average score on the test was 85.
Awake,Despierto,Not sleeping; open eyes and alert.,I was awake all night studying for the exam.
Baby,Bebé,A very young child or infant.,The baby is sleeping.
Back yard,Patio trasero,The area of land behind a house.,The back yard is perfect for barbecues.
